Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Storms and Severe Thunderstorms,Maple Ridge BC,"March 12, 2007",Unknown,"Maple Ridge BC, March 12, 2007. Mudslides and flooding hit British Colombia's lower mainland after a weekend of heavy rain, leading to road closures and evacuation warnings. About 170 houses were flooded and hundreds of people were told to leave their homes, after the Alouette River spilled its banks."
Meteorological - Hydrological | Storms and Severe Thunderstorms,South Coast and Lower Mainland BC,"December 20, 2006",Unknown,"South Coast and Lower Mainland BC, December 20, 2006. Less than two weeks after a powerful windstorm struck British Columbia’s southern coast causing property damages and power outages, another windstorm impacted the region causing further severe power outages. Approximately 25,000 homes and businesses (75,000 individuals) lost power along British Columbia's south coast. In Vancouver Island, wind gusts of up to 90 km/h caused most of the damages leaving  20,000 B.C. Hydro customers (approximately 60,000 individuals) without power. On the mainland and along the Sunshine Coast 5000 hydro customers (approximately 15,000 individuas) were left in the dark. The Greater Vancouver area received wind gusts of 50 to 80 km/h, but no power outages were reported."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Vancouver BC,"December 11, 2006",Unknown,"Vancouver BC, December 11, 2006. A powerful windstorm struck British Columbia’s southern coast resulting in approximately 190,000 power outages (570,000 individuals). The storm produced wind gusts of up to 100 km/h, which downed power lines and uprooted trees. Ferries had to be canceled due to the strong winds. In Vancouver damaged streetlights and fallen trees in the roads caused traffic delays throughout the city."
Meteorological - Hydrological | Storm - Unspecified / Other,"Vancouver, British Columbia","November 15, 2006",Unknown,"On November 15th, over 150 mm of rain fell on Vancouver in 15 hours. By noon, 7 provincial highways were blocked with eight communities experiencing power outages. Additionally, several landslides in Vancouver water reservoirs created a risk of water contamination resulting in a boil water advisory for 2 million residents in Vancouver and its surrounding area. While the advisory was partially lifted the next day, almost a million residents in Vancouver, Burnaby, and the North Shore remained under a boil water advisory for 10 more days. This was the largest water warning in Canadian history. This storm and a series of storms over the next month would lead to over $133 million (CAD 2006) in insured losses."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Ontario and Quebec,"October 29, 2006",Unknown,"Ontario and Quebec, October 29, 2006. A storm that blew in from the United States left about 49,000 Quebec and 30,000 Ontario residents without power (approximately 240,000 individuals). High winds felled lines in a broad band across central Ontario, while in Quebec, the Laurentians region, north on Montreal, and the Gasp were particularly hard hit."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Sainte-Anne-des-Plaines QC,"August 19, 2006",Unknown,"Sainte-Anne-des-Plaines QC, August 19, 2006. A small community located 50 kilometres north-east of Montreal was at the centre of a torrential downpour that produced 135 mm of rain in less than three hours."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Northern and Central Ontario,"July 17, 2006",Unknown,"On July 17th, one of the longest storm tracts in Ontario's history left a 400 kilometre long trail of damage. The series of severe storms produced funnel clouds, straight-line winds, and tornadoes. The areas with the most significant wind damage were Larder Lake, Manitoulin Island, Verner, Sturgeon Falls, North Bay, Calendar, French River, Mattawa, and Peterborough which experienced straight-line winds between 120-170 km/hr. In the evening, 2 tornadoes (an EF 1 and an EF 0) touched down in the Newmarket area. In addition to the property damage, there was extensive damage to Hydro One infrastructure including downed high-voltage circuits, 1,000 snapped electricity poles,  4,000 damaged insulators, and over 200 damaged transformer . The storm system eventually crossed over into Quebec where it  continued to cause damage. Successive storms throughout July, August and September caused over $100 million in losses and Hydro One earned the Edison Electric Institute's Emergency Recovery Award for its outstanding efforts in restoring service."
Meteorological - Hydrological | Storm Surge,Delta BC,"February 4, 2006","$6,406,000","Delta BC, February 4, 2006. A strong winter storm with sustained winds of 75 km/h brought an approximately one metre storm surge which coincided with the morning high tide resulting in water levels 5.5 metre above chart datum. Combined with high waves, overtopping and breaching of dykes allowed flooding of low-lying areas behind the dykes. Approximately 150-200 residential properties were affected."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Lorette River, Quebec City QC","September 26, 2005",Unknown,"Lorette River, Quebec City QC, September 26, 2005.  The remnants of hurricane Rita caused flooding by overflowing the Lorette River with 108.55 mm of rain fall."
Meteorological - Hydrological | Tornado,Southern Ontario,"August 19, 2005","$500,000,000","Southern Ontario ON, August 19, 2005.  A series of severe thunderstorms tracked eastward across southern Ontario from Kitchener to Oshawa. The system spawned two F2 tornadoes with gusts between 180 and 250 km/h. The first tracked through Milverton to Conestogo Lake and the second from Salem to Lake Bellwood. The tornadoes downed power lines, uprooted trees, ripped into several homes, cottages and barns, and overturned vehicles. Within one hour, torrential rains dumped 103 mm in North York, 100 mm in Downsview and 175 mm in Thornhill, leading to flash flooding. Fire fighters rescued four people who fell into the fast moving currents of the Don River. Thirty metres of Finch Avenue West was washed out. Early estimates report more than 15,000 insurance claims were submitted for structural and non-structural damages caused by torrential rains and high winds. Not included in insured losses were infrastructure damages."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Northern Saskatchewan,"July 23, 2005","$2,597,891","Northern Saskatchewan, June 23-25,2005.  An intense low pressure system caused heavy rainfall from July 23-25, affecting an area of northern Saskatchewan already saturated by snowmelt between Meadow Lake to the south and Stony Rapids to the north, and between the Alberta border to the west and the Manitoba border to the east.  The closure of Highway 905 due to flooding in several locations resulted in the disruption of services to northern communities, including Stony Rapids and Black Lake, until the road was re-opened on July 31.  Preliminary eligible costs were estimated at $3,200,000, which would result in a federal share of approximately $1,100,000."
Meteorological - Hydrological | Storm Surge,Kings County PE,"December 27, 2004","$2,578,039","Kings County PE, December 27, 2004. Panmure Island and Basin Head were particularly affected. In North Rustico, a man was rescued by firefighters from his flooded residence."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Edmundston NB,"August 13, 2004",Unknown,"Edmundston and Saint-Jacques NB, August 13-14, 2004. Tropical storm Bonnie produced significant heavy rain throughout New Brunswick. Edmundston and Saint-Jacques were both hard hit by the torrential rain. There was localised flooding, basement flooding and road closures in Edmundston and Saint-Jacques. The community of Saint-Jacques was put on a boil water advisory due to well contamination that resulted from the flooding. Edmundston recieved up to 90 mm of rain, while 50.9 mm and 65.4 mm was reported in Fredricton and St. Stephen. Flooded roads created dangerous driving conditions for local residents. One individual was killed while driving a truck across a shallow stream."
Meteorological - Hydrological | Tornado,Grande Prairie AB,"July 8, 2004",Unknown,"Grande Prairie AB, July 8, 2004. A tornado swept through the city of Grand Prairie turning over cars and causing damages to homes and businesses. Environment Canada reported the tornado as a funnel cloud, although a tornado advisory was in place at the time. The tornado touched down at 15:30 MST and passed through the city’s downtown core. Damages included a downed power line that caused a small fire in a hotel, the destruction of a Kentucky Fried Chicken restaurant as well as numerous homes with damaged roofs, doors and windows."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Edmonton AB,"July 2, 2004","$12,678,824","Edmonton AB, July 2-11, 2004.  Severe hail and rain battered parts of Edmonton, causing extensive flooding of basements and streets, and forcing the evacuation of 30,000 people from the worlds largest shopping mall, the West Edmonton Mall."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Halifax NS and Charlottetown PE,"September 29, 2003","$25,529,656","Halifax NS and Charlottetown PE, September 29, 2003. At 00:10 AST, Hurricane Juan made landfall in Nova Scotia as one of the most powerful and damaging hurricanes to impact Canada.  A 1.63 metre storm surge occurred while Juan made landfall just south of Halifax as a Class 2 hurricane. Water levels reached 2.9 metres above chart datum, which was the highest water level recorded to date at this location. Winds gusted to 230 km/h in Halifax and waves outside Halifax Harbour reached a maximum height of 19 metres. Extensive damage to buildings, docks, boardwalks and trails occurred throughout Nova Scotia and Prince Edward Island. Point Pleasant Park in Halifax was decimated; nearly every tree in the 75-hectare park was damaged or uprooted. Juan knocked out power to hundreds of thousands of people. It is estaimated that up to 300,000 people lost power due to the strong winds. In addition, eight lives were lost either directly or indirectly as a result of Hurricane Juan."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Southern coast of Newfoundland,"September 19, 2001","$11,743,003","Southern coast of Newfoundland, September 19, 2001. Tropical Storm ""Gabrielle"". High tides, strong winds and record-breaking precipitation hit the southern coast of Newfoundland, particularly the Avalon Peninsula. Provincial, municipal, and private properties were greatly affected. Basements, streets, parks, schools and shopping malls were flooded. Power outages affected most of the province. Conflict arose between St-John's residents and the municipality over the inadequate sewer system; the sewer system could not manage the runoff."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Morley, Chapple, Dawson, Emo, Lake of the Woods, La Vallee, Rainy River, Fort Frances ON","July 31, 2001","$869,596","Morley, Chapple, Dawson, Emo, Lake of the Woods, La Vallee, Rainy River, Fort Frances ON, July 31, 2001.  A severe summer storm hit eight municipalities and two rural areas in northwestern Ontario.  These were declared disaster areas, and the damages were covered by the Ontario government.  Effects of the storm include fallen trees, washed out roads, tossed boats, and broken docks."
Meteorological - Hydrological | Storm Surge,Eastern and Northern Coastline of New Brunswick,"October 29, 2000","$5,481,000","Eastern and Northern Coastline of New Brunswick, October 29, 2000.  Extensive damage occurred during a severe storm surge with winds in excess of 130 km/h.  Private property, businesses and public infrastructure were damaged along the eastern and northern coast of New Brunswick.  The emerging shellfish aquaculture industry (which includes mussels, oysters and clams) was also greatly affected."
Meteorological - Hydrological | Tornado,Pine Lake AB,"July 14, 2000","$3,385,331","Pine Lake AB, July 14, 2000.  A tornado hit Pine Lake at 300 kilometres an hour, killing 12 people and injuring more than 140.  Close to one-thousand people were displaced from a campsite as their recreational vehicles were damaged."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Ontario,"April 20, 2000",Unknown,"Southern Ontario, April 20-21, 2000.  The Windsor area registered 95 mm of rain in a 24-hour period and the storm dumped almost 70 mm of rain on the London area, Sarnia got 50 mm, while 40 mm fell on the Toronto area.  Sewers were backed up and roads washed out, and many short power outages occurred.  One child suffered injuries in Toronto due to violent winds, which gusted up to 80 km/h."
Meteorological - Hydrological | Storm Surge,Maritime provinces,"January 21, 2000","$216,978","Maritime provinces, January 21, 2000. A 1.36 m surge occurred as an intense storm passed 55 km east of Charlottetown bringing 70 km/h sustained winds to the region. The peak surge coincided with high tide resulting in a water level of 4.23 m above chart datum, the highest water level recorded to date at this location. Significant flooding occurred inundating more than 460 properties including gas stations and a power generating plant and damaging wharves."
